Affischtavla	Billboard
etablering	establish
etablissemang	Establishment
etanol	ethanol
etapp	stage
etc	etc.
eter	ether
etik	ethics
etikett	etiquette
etiopien	Ethiopia
etiopier	Ethiopian
etisk	ethical
etnisk	ethnic
etniskt	ethnic
etnocentrisk	ethnocentric
etnokulturellt	ethno-cultural
etnologisk	ethnologic
etsa	etch
ett	one
etta	one
ettrig	hot-tempered
ettårig	one-year
ettöring	penny
etui	case
etyleter	eter
etymologiska	etymological
eu	EU
eu-kritisk	eu-critical
eu-skeptiska	eu-sceptic
eu-vänlig	eu-friendly
eufemism	euphemism
eufori	euphoria
euforisk	euphoric
eugenisk	eugenic
euro	euro
euro-atlantiska	euro-atlantic
euroasiatisk	euroasian
eurofederalism	euro-federalism
europa	europe
europainriktat	europe-oriented
europaparlamentariker	euro-parliamentarians
europavalen	EU-elections
europavän	euro-enthusiast
europe	europe
europeisk	European
europeiska	European
europé	European
eurosedlar	euroes
ev	possible
evakuera	evacuate
evakuerats	evacuate
evakuering	evacuation
evangelisk	evangelical
evangelium	gospel
evenemang	event
eventuell	possible
eventuellt	possibly
evergreen	evergreen
evighet	eternity
evinnerlig	eternal
evinnerligt	everlasting
evolution	evolution
ex	specimen
ex-	ex-
exakt	exact
exalterad	highly-strung
examen	degree
examinering	examination
excellens	Excellency
excentrisk	eccentric
exceptionell	exceptional
exceptionella	exceptional
exekution	execution
exekutiv	executive
exempel	example
exempellös	unparalleled
exemplar	specimen
exemplarisk	exemplary
exemplifiera	exemplify
exergi	exergy
exil	exile
existens	existence
existera	exist
existerande	excisting
exkludera	exclude
exkludering	exclusion
exklusiv	exclusive
exklusive	excluding
exklusivitet	exclusivity
exkrementutsöndring	excretion
exmaka	ex-wife
exoteriska	exoteric
exotisk	exotic
exp	performance
expandera	expand
expanderande	expanding
expansion	expansion
expansiv	expansive
expediera	serve
expedition	expedition
experiment	experiment
experimentera	experiment
expert	expert
expertis	expertise
explicit	explicit
exploatera	exploit
exploaterbar	exploitable
exploatering	exploitation
exploatör	exploiter
explodera	explode
explosion	explosion
explosiv	explosive
exponentiell	exponential
exponentiellt	exponentially
exponera	expose
exponeringstabell	sulbration
export	export
exportberoende	export-dependent
exportera	export
exportinriktade	export-oriented
express	express
expressiv	expressive
expropriation	expropriation
extas	ecstasy
extatisk	ecstatic
extensiv	extensive
exteriör	exterior
extern	external
externt	externally
extra	extra
extraknäck	moonlighting
extraknäcka	moonlight
extrakt	extract
extrapolationer	extrapolations
extrem	extreme
extremism	extremism
extremist	extremist
extremt	extreme
extremvänster	far-left
extrinsic	yttre
eyeliner	eyeliner
fabel	fable
fabricera	manufacture
fabrik	plant
fabrikant	manufacturer
fabrikat	manufacture
fabrikation	fabrication
fabriksbyggd	factory-made
fabulös	fabulous
facetterad	faceted
facilitet	amenity
facit	key
fack	union
fackföreningsmedlem	unionmember
fackla	torch
facklig	union
facklor	torches
fackman	professional
fackorganisation	union
fadd	flat
fadder	godfather
fader	father
fadersgestalt	father-figure
faderskap	paternity
fager	fair
fajtas	fight
fakta	fact
faktisk	real
faktor	factor
faktum	fact
faktura	invoice
fakturera	bill
fakturering	billing
fakultet	faculty
falang	wing
falkar	falcons
fall	case
falla	fall
fallenhet	gift
fallfärdig	tumbledown
fallgrop	pitfall
fallgropar	pitfalls
fallit	fallen
fallrepet	gangway
fallskärm	parachute
fallskärmshoppare	skydivers
fallskärmsjägare	ger
fals	fold
falsarium	falsification
falsett	falsetto
falsk	false
falskmyntare	counterfeiters
familj	family
familjebaserade	family-based
familjefar	father
familjefrågor	family-related
familjer	families
familjeägt	family-owned
familjeöverhuvud	Patriarch/Matriarch
familjär	familiar
famla	grope
famlar	groping
famn	fathom
famntag	embrace
famös	notorious
fan	fan
fana	flag
fanatiker	fanatic
fanatisk	fanatical
fanatism	fanaticism
fanbärare	flagbearer
faner	veneer
fanering	veneering
fanfar	fanfare
fann	found
fanns	was
fans	Fans
fantasi	imagination
fantasirik	imaginative
fantast	enthusiast
fantastisk	fantastic
fantastiskt	terribly
fantisera	fantasize
fantom	whizz
far	father
fara	danger
farao	pharaoh
farbror	uncle
farfar	grandfather
farföräldrar	grandparents
fargalt	clumsy
farhåga	misgiving
farit	travelled
farkost	craft
farlig	risky
farlighet	danger
farligt	dangerous
farm	farm
farmaceut	pharmacist
farmakolog	pharmacologist
farmakologi	pharmaceutics
farmakologiskt	pharmacologically
farmor	grandmother
farofyllda	dangerous
fars	farce
farsgubbe	senior
farsot	epidemic
farstu	vestibule
fart	rate
farthållare	cruisecontrol
fartyg	boat
fartygschef	shipmaster
fartygsflotta	fleet
fartygsägare	shipowner
farvatten	waters
farväl	goodbye
fas	phase
fasa	dread
fasad	façade
fasan	pheasant
fasansfull	horrible
fasaväckande	horrific
fascinera	fascinate
fascinerad	fascinated
fascinerande	fascinating
fascism	fascism
fascist	fascist
fasett	facet
fasetterad	faceted
fashionabel	fashionable
faslig	dreadful
fason	behaviour
fast	(al)though
fasta	fast
faster	aunt
fastgjord	fixed
fasthålla	Ambient
fastighet	property
fastlagen	Lent
fastland	continent
fastlägga	determine
fastlåst	Stuck
fastslå	determine
fastspikning	NAILING
fastställa	establish
fastställd	established
fastän	albeit
fat	drum
fatal	unlucky
fatta	grasp
fattig	poor
fattigaste	poorest
fattigdom	poverty
fattiglapp	down-and-out
fattning	composure
fauna	fauna
favorit	favourite
favör	advantage
fe	fairy
feature	feature
feber	fever
febersjuk	fever
febrig	feverish
febril	frantic
februari	February
federal	federal
federalistisk	federalist
federation	federation
feedback	feedback
feg	cowardly
feghet	cowardice
fegis	coward
feja	clean
fejd	feud
fejka	fake
fel	wrong
felaktig	mis-
felaktigheter	inaccuracies
felaktigt	wrongly
felande	missing
felbedöma	Misjudge
felbedömning	misjudgement
felberäkning	miscalculation
felcitera	miscite
felciterad	misquoted
felfritt	flawless
felinformerad	disinformed
felplacerad	misplaced
felräknad	miscalculated
felstavat	misspell
feltolka	misinterpreting
feltolkning	misinterpretation
felöversatt	mistranslated
felöversättning	mistranslation
fem	five
femfaldig	fivefold
feminin	feminine
feminiseringen	feminization
feminism	feminism
feminist	feminist
femkamp	pentathlon
femma	fiver
femsidigt	five-page
femte	fifth
femtedel	fifth
femtielva	umpteen
femtio	fifty
femtioett	fifty-one
femtionde	fiftieth
femtiotal	fifty
femtiotredje	fifty-third
femton	fifteen
femtonde	fifteenth
femuddig	five-pointed
femårig	five-year
fena	fin
fenicier	Fenicians
fenomen	phenomenon
fenomenal	phenomenal
feodal	feudal
feodala	feudal
feodalism	feudalism
ferie	holiday
fernissa	varnish
fertil	fertile
fertilitet	Fertility
fest	party
festa	party
festival	festival
festlig	comical
festlighet	festivity
festligheter	festivities
festligheterna	festivities
fet	greasy
fetischism	fetish
fetknopp	fatty
fetma	obesity
fetstilt	bold
fett	fat
fettsnål	low-fat
fia	ludo
fiasko	fiasco
fiat	fiat
fibrer	fiber
fibromyalgi	fibromyalgia
fick	received
ficka	slot
fickstölder	pickpocketing
ficktjuv	pickpocket
fiende	foe
fientlig	hostile
fientlighet	hostile
fiffel	cheating
fiffig	ingenious
fiffla	fiddle
fifty-fifty	fifty-fifty
figur	figure
figurnära	slim
fik	café
fika	coffee
fikaställe	cafes
fikon	fig
fikonlöv	figleaf
fikonspråk	mumbo-jumbo
fiktion	fiction
fiktiv	fictitious
fikus	queer
fil	file
fila	polish
filantropi	Philanthropy
filantropisk	philanthropic
filatelist	philatelist
filharmoniska	philharmonic
filial	branch
film	film
filma	sham
filmduk	screen
filmmanus	screenplays
filmmusik	soundtrack
filosof	philosopher
filosofera	philosophise
filosofi	philosophy
filosofisk	philosophically
filosofiskt	philosophically
filt	rug
filtrera	filter
filtrering	filtration
filé	fillet
fimp	end
fin	subtle
final	final
finalist	Finalist
finans	finance
finansförvaltning	Treasury
finansiell	financial
finansiellt	financially
finansiera	finance
finansierad	funded
finansierade	financed
finansiering	financing
finansiär	financier
finanssektor	finance-sector
finemang	fine!
finess	detail
finfördela	disperse
finger	finger
fingeravtryck	fingerprints
fingerborg	thimble
fingerfärdig	dexterous
fingervisning	pointer
fingra	finger
fingrad	fingered
finhet	Beauty
finish	finish
finito	finito!
finjustering	fine-tuning
finka	clink
finkamma	fine-comb
finkänslig	tactful
finlemmad	slender-limbed
finländare	Finlander
finländsk	Finnish
finmaskig	fine-meshed
finn	find
finna	find
finnas	am
finne	Finn
finsk	Finnish
finska	Finnish
finsktalande	finnish-speaking
finskuren	fine(ly)-chopped
finslipa	polish
finslipning	refinement
finsmakare	gourmet
fint	trick
finta	feint
finurlig	shrewd
fiol	violin
fiolspel	fiddle
fira	lower
fireworks	fyrverkerier
firma	firm
fisa	fart
fisk	fish
fiskare	fisherman
fiskben	fishbone
fiske	fishing
fiskeavtal	fishingdeal
fiskmjöl	fiskflour
fiskmåsar	seagulls
fiskpinne	fish-stick
fission	fission
fitta	cunt
fix	fix
fixa	arrange
fixera	determine
fixerad	obsessed
fjant	fusspot
fjord	fjord
fjorton	fourteen
fjortonde	fourteenth
fjuttig	paltry
fjäder	spring
fjäll	scale
fjärd	bay
fjärde	fourth
fjärdedel	one-quarter
fjäril	butterfly
fjärrstyrd	remote-controlled
fjärt	fart
fjärta	fart
fjäsk	fawning
fjäskig	fawning
fjättra	shackle
flabb	cackle
flabba	cackle
fladdermus	bat
flaga	flake
flagg	flag
flagga	flag
flaggskepp	flagship
flagrant	flagrant
flak	board
flamländare	flamish
flamma	blaze
flamskyddsmedel	summering
flanell	flannel
flanera	stroll
flaska	bottle
flaskhals	bottleneck
flasklock	cap
flat	weak
fler	more
flera	several
flerdimensionella	multidimensional
flerdubbla	multiply
flerfaldig	multiple
flerfärgade	multi-coloured
flerhandikappad	multi-handicapped
flerpack	Multipacks
flerpartisystem	multi-system
flerspråkighet	multilingual
flertal	plural
flerårig	multiannual
flest	most
flest(a)	most
flesta	most
flexibel	flexible
flexibilitet	flexibility
flextid	flexitime
flicka	girl
flickaktig	girly
flickig	girly
flickvän	girlfriend
flik	lobe
flimmer	quiver
flimra	shimmer
flin	sneer
flina	sneer
flinga	flake
flink	deft
flinta	flint
flintskallig	bald-headed
flirt	flirt
flirta	flirt
flis	chips
flisa	chip
flisig	splintered
flit	diligence
flitig	hard-working
flitigt	hard-working
flock	flock
flod	flood
flop	flop
flor	gauze
flora	flora
florera	flourish
flott	smart
flotta	raft
flotte	raft
flottilj	flotilla
flottning	driving
fluffig	fluffy
fluffighet	fluffiness
fluga	fly
flugit	flown
flugviktare	lightweight
fluktuationer	fluctuations
fluktuera	fluctuate
flummig	fuzzy
flummighet	unreliable
flundra	flounder
fluor	fluorine
fluorerade	fluorinated
flutit	floated
fly	flee
flyg	aviation
flyga	fly
flygande	Flying
flygare	aviator
flygblad	leaflet
flygbolag	airline
flygel	wing
flygembarkering	boarding
flygfält	airfield
flygförare	pilot
flygkapten	pilot
flygmaskin	Airplane
flygplan	aeroplane
flygplanspilot	pilot
flygplats	airport
flygresa	trip
flygspaning	reconnaissance
flygterminal	terminal
flygtransport	airtransport
flygvapen	airforce
flyhänt	quick
flykt	flight
flyktig	volatile
flykting	fugitive
flyta	float
flytande	fluently
flytkraft	displacement
flytning	discharge
flytta	move
flyttbar	moveable
flyttning	moving
fläck	spot
fläcktyfus	Typhoid
fläkt	fan
flämt	gasp
flämtande	gasping
flärd	vanity
flärdfull	flamboyant
fläsk	pork
fläskkotlett	porkchop
fläskkött	pork
fläta	plait
flå	peel
flåsa	puff
flåshurtig	hearty
flöda	flow
flög	flew
flöjt	flute
flört	flirt
flörtighet	flirtiness
flöt	flowed
flöte	float
fn-soldat	blue-helmets
fniss	giggle
fnissa	giggle
fnitter	giggle
fnittra	titter
fnurra	hitch
fnysa	snort
fnöske	touchwood
foajé	foyer
fobi	phobia
fobier	phobias
fobiska	phobic
foder	lining
fodral	cover
foga	attach
fogde	sheriff
fokus	focus
fokuserad	focused
folder	folder
folie	film
folk	people
folkfest	festival
folkhälsa	public-health
folkhälsoproblem	egnaff
folklig	popular
folklore	folklore
folkmord	genocide
folkomröstning	referendum
folkrik	populated
folkrika	populous
folkräkning	census
folksamling	crowd
folkslag	people
folkspråk	purose
folkstam	tribe
folkstyrd	democracy
folkvald	elected
folkvandring	migration
fond	fund
fondera	fund
fonologi	phonology
fonologisk	phonologic
fontän	fountain
for	went
forcera	force
forcerade	forced
fordon	vehicle
fordra	claim
fordran	demand
fordras	required
fordring	claim
forell	trout
forfarande	diverted
form	form
forma	model
formalin	formalin
formalism	formalism
formalitet	formality
formaliteter	pry
formande	shapes
format	format
formation	formation
formbar	mouldable
formel	formula
formell	formal
formellt	formally
formering	formation
formgivare	designer
formgivning	design
formidabel	formidable
formkänsla	formsense
formlig	real
formligen	literally
formlös	amorf
formulera	draft
formulerad	formulated
formulär	form
forn	former
fors	waterfall
forsa	gush
forska	research
forskare	researcher
forskning	research
forskningsassistent	Research-assistent
forsla	transport
fort	quickly
fortfarande	still
fortgående	continous
fortplantning	reproduction
fortplantningsförmåga	fertility
fortsatt	continued
fortskaffningsmedel	conveyance
fortskrida	proceed
fortsätta	continue
forum	forum
forward	forward
fosfat	phosphate
fosfor	phosphor
fosforglänsande	phosphorus
fossil	fossil
foster	embryo
fosterbarn	foster-child
fosterförälder	foster-parent
fosterhem	foster-home
fostret	foetus
fot	foot
fotavtryck	footprint
fotboll	football
fotbollsrelaterade	football-related
fotfäste	foothold
fotgängare	pedestrian
fotgängarvänlig	pedestrian-friendly
fotnot	footnote
foto	snapshot
foto-	photo-
fotogenisk	photogenic
fotograf	photographer
fotografering	photographing
fotografi	photograph
fotografisk	photographic
fotokemi	photochemistry
fotokopia	photocopy
fotokopiering	photocopying
fotolaboratorium	Photolab
fotolampa	interceptor
fotolitografisk	photolithographic
fotomekanisk	photomechanical
foton	photos
fotosyntes	photosynthesis
fototerapi	phototherapy
fotsteg	footsteps
fp	FP
frack	tails
fradga	froth
fragment	fragment
fragmentering	fragmentation
frakt	freight
frakta	carry
fraktion	fraction
fraktur	fracture
fralla	roll
fram	there
framalstra	generate
framfart	ravagings
framfusig	forward
framföra	present
framförande	performance
framförd	presented
framgång	success
framgångsrik	successful
framhärda	persist
framkalla	develop
framkallning	developing
framkant	frontedge
framkasta	suggest
framkomlighet	accessibility
framkomma	emerge
framkörning	redundant
framlägga	present
framläggning	presentation
framlänges	forwards
frammarsch	advance
framme	arrive
framruta	windshield
framräknad	calculated
framsida	front
framskapa	Create
framskjutande	prominent
framskjuten	advanced
framskriden	advanced
framskrider	advances
framsteg	progress
framställa	make
framställd	assembled
framställning	request
framstå	seem
framstående	prominent
framstöt	thrust
framsynt	far-sighted
framtaga	produced
framtagen	developed
framtid	future
framtida	future
framtidshopp	prospects
framtidsinriktad	future-orientated
framtidssäker	future-proof
framträda	perform
framträdande	appearance
framtvinga	compel
framvagn	Tekonom
framåt	ahead
framåtblickande	forward-looking
framåtskridande	progress
framåtvänd	Forward-facing
framöver	ahead
frank	frank
frankera	frank
frankrike	france
frans	fringe
fransk	French
fransk-afrikansk	love
fransk-belgisk	french-belgium
fransk-kanadensisk	french-canadian
fransk-tysk	franco-german
franska	French
franskklingande	french-sounding
franskspråkig	french-speaking
fransman	Frenchman
fransos	Frenchman
fransyska	rump-steak
frappera	strike
fras	phrase
frasa	rustle
frasig	crisp
fred	peace
fredag	Friday
fredagar	fridays
fredlig	peaceable
fredlös	outlaw
fredsbevarande	peace-keeper
fredsbyggande	peace-building
fredsplan	peaceplan
fredsskapande	peacemaking
fredsstiftare	peace-makers
fredstid	peacetime
fredsunderbyggande	peace-supportive
fredsåterställande	peace-restoring
fregatt	 frigate
fregatter	frigates
frekvens	frequency
frekvent	frequent
frenetisk	frenetic
freon	freon
fresk	fresque
fresta	tempt
frestad	tempted
frestelse	temptation
fri	free
fria	acquit
friare	suitor
frid	peace
fridfull	peaceful
fridfullhet	serenity
fridlysa	protect
fridsamhet	peacefulness
frieri	proposal
frigid	frigid
frigjord	liberated
frigående	self-going
frigöra	liberate
frigöring	releasing
friherre	baron
frihet	freedom
frihetsälskande	freedom-loving
friidrott	athletics
frikalla	exempt
frikallad	released
frikoppla	disconnect
frikort	pass
frikostig	generous
frikostigt	generous
friktion	friction
frikänna	acquit
frilans	freelance
frilansande	freelance
frilansare	freelancer
frilufts-	open-air
frimodig	bold
frimodighet	openness
frimurare	mason
frimärka	Stamps
frimärke	stamp
frireligiös	nonconformist
frisinnad	liberal
frisinnat	openminded
frisk	fresh
friska	healthy
friskrivning	disclaimer
frispråkig	outspoken
frist	respite
fristad	sanctuary
fristående	free-standing
frisör	barber
frisörsalong	hairdresser
frita	release
friterad	fried
fritidsintresse	hobby
fritt	free
fritös	fryer
frivillig	voluntary
frivillighet	voluntarity
frivilligt	voluntarily
frodas	flourish
frodig	luxuriant
from	pious
front	front
frontal-	frontal
frontlinje	frontier
frossa	guzzle
frosseri	gluttony
frost	frost
frostskada	frostburn
fru	wife
fruga	wife
frukost	breakfast
frukt	fruit
frukta	fear
fruktad	feared
fruktan	fear
fruktansvärd	terrible
fruktansvärt	horribly
fruktbar	productive
fruktkaka	fruitcake
fruktlös	futile
fruktos	fructose
fruktsaft	juice
fruktsam	fertile
fruktsamhet	fertility
fruntimmer	woman
frusen	frozen
frusit	frozen
frusta	snort
frustration	frustration
frustrerad	frustrated
frustrerande	frustrating
frys	freezer
frysa	freeze
frysbox	freezer
frysfack	freezer
fryst	frozen
fräck	striking
fräknar	freckles
fräknig	freckled
frälsa	save
främja	forward
främling	alien
främlingsfientlig	xenophobic
främmande	guest
främre	front
främst	mainly
främsta	first
frän	acrid
frände	friend
fränder	kinsmen
fräs	cutter
fräsa	mill
fräscha	fresh
fräsig	classy
fräta	corrode
fråga	ask
frågelek	quiz
frågeställare	interviewer
frågetävling	quiz
frågvis	inquisitive
från	from
frånskild	divorced
frånskilja	separate
frånskiljning	separation
frånstötande	repugnant
frånta	disempowering
frånvarande	absent
frånvaro	absence
frö	germ
fröjd	delight
fröjderik	joyful
fröken	Miss
frös	froze
fuffens	hanky-panky
fukt	damp
fukta	wet
fuktdrypande	soaking
fuktgivande	moisturizing
fuktig	moist
fuktighet	moisture
fuktighetsbevarande	moisturizing
ful	nasty
fuling	rascal
full	intoxicated
fullastad	laddade
fullbokat	fullbooked
fullborda	finish
fullbordad	compleated
fullfjädrad	accomplished
fullföljande	completion
fullkomlig	perfect
fullkomligt	completely
fullkorn	wholemeal
fullmäktige	delegate
fullproppad	stuffed
fullskalig	full-scale
fullständig	entire
fullständiga	complete
fullständigt	utterly
fullt	ugly
fullvuxen	full-grown
fulländad	perfect
fumla	fumble
fumlig	fumbling
fundament	foundation
fundamental	fundamental
fundamentalist	fundamentalist
fundamentalistisk	fundamentalistic
fundera	think
funderingar	wonderings
fungera	act
fungerande	working
funkis	functionalist
funktion	purpose
funktionalism	functionalism
funktionalistisk	HATERS
funktionalitet	functionality
funktionell	servicable
funktionellt	functionally
funktionsbrist	dysfunction
funktionshinder	disability
funktionshindrad	handicapped
funktionsnedsättning	disability
funktionsstörning	malfunction
funktionär	official
funnit	found
funnits	existed
fura	pine
furste	prince
fusion	fusion
fusk	bungling
fuska	cheat
futtig	petty
futurum	future
fy	ugh!
fylla	fill
fylleri	drunkenness
fyllerist	drunk
fyllig	plump
fyllnad	filling
fyllnads-	supplementary
fyllning	filling
fyllo	drunk
fynd	discovery
fyndig	ingenious
fyndighet	deposit
fyr	fire
fyra	four
fyradagars	four-day
fyraåring	four-year-old
fyrbent	fourlegged
fyrdubbla	quadruple
fyrfaldig	quadrupling
fyrhjuliga	four-wheeled
fyrhjulsdrift	fourwheeldrive
fyrkant	square
fyrkantig	square
fyrsiffrig	four-digit
fyrtiförsta	fortyfirst
fyrtio	forty
fyrtionde	fortieth
fyrtorn	lighthouse
fyrverkerier	fire-works
fyrverkerierna	Fireworks
fyrverkeripjäser	fireworks
fysik	physics
fysikalisk	physical
fysiologi	physiology
fysiologisk	physiological
fysisk	physical
fysiskt	Physical
fä	beast
fägring	bloom
fähund	rotter
fäkta	fence
fäktare	fencer
fälg	rim
fälla	run
fält	field
fält-	field
fältassistent	fieldworker
fältkikare	binoculars
fältslag	battles
fängelse	imprisonment
fängelsehåla	dungeon
fängelsehålor	dungeon
fängelsepräst	sjunga
fängsla	fascinate
fängslad	captive
färd	journey
färdas	travel
färde	journey
färdig	ready
färdigbildad	graduate
färdighet	skill
färdigmat	junkfood
färdigställa	prepare
färdledare	guide
färdmedel	transport
färg	suit
färga	colour
färgad	coloured
färgbild	colorblind
färgblind	colourblind
färgbrytning	shading
färgglad	brightly-coloured
färggrann	colorful
färgkänslig	color-sensitive
färglägga	colour
färgläggning	colorscheming
färglös	colourless
färgrik	colourful
färgskimrande	shimmering
färgsprakande	colorful
färgstark	colourful
färgsätta	colorise
färgämne	colourant
färja	ferry
färjhamn	Ferryport
färre	fewer
färs	mince
färsk	fresh
fästa	attach
fäste	footing
fästing	tick
fästman	fiancé
fästmö	fiancé
fästning	fortress
få	have
fåfäng	vain
fåfänga	vanity
fågel	bird
fågelholk	birdhouse
fåll	hem
fålla	hem
fåne	fool
fång	armful
fånga	catch
fångad	trapped
fånge	prisoner
fången	prisoner
fångenskap	imprisonment
fångst	catch
fångstman	catcher
fångstredskap	Nets
fånig	silly
fåordig	silent
får	sheep
fåraktigt	sheepish
fårherde	shepherd
fårskalle	muttonhead
fåtal	minority
fått	got
föda	feed
födelse	birth
födelsedag	birthday
födelsetal	birth-rate
födelsevikt	birthweight
födsel	birth
föl	foal
följa	follow
följaktligen	consequently
följande	following
följare	follower
följd	series
följdriktig	logical
följe	companion
följeslagare	companion
följetong	serial
föll	fell
fönster	window
fönsterpost	epost
fönsterram	frame
fönsterruta	window
för	for
föra	lead
förakt	contempt
förakta	despise
föraktad	despiced
föraktfull	scornful
föraktfullt	despiteful
föraktlig	mean
föraning	presentiment
förankring	support
föranleda	cause
föranledd	caused
föranlåten	compelled
förarbeta	preprocess
förare	driver
förarga	annoy
förargad	annoyed
förargelse	vexation
förarglig	provoking
förarkabin	Cockpit
förarkabinen	cockpit
förband	unit
förbanna	damn
förbannad	angry
förbannat	damned
förbannelse	curse
förbaskad	confounded
förbaskat	confounded
förbehåll	condition
förbehålla	reserve
förbereda	prepare
förberedande	preparatory
förberedd	prepared
förberedelse	preparation
förberedelsestadium	preparation
förberedning	preparation
förbi	past
förbinda	bandage
förbindelse	relations
förbirusande	rushing
förbise	disregard
förbiseende	oversight
förbistring	confusion
förbjuda	forbid
förbjuden	forbidden
förbjöd	forbade
förblev	remained
förbli	stay
förblindar	dazzles
förblindas	dazzle
förbluffa	amaze
förbluffelse	astonishment
förblända	dazzle
förbruka	consume
förbrukare	consumer
förbrukning	consumption
förbrylla	perplex
förbryllad	confused
förbryllande	puzzling
förbrytare	criminal
förbrytelse	crime
förbränning	incineration
förbränningsanläggningar	incinerators
förbudsmotståndare	Intermediaries
förbund	association
förbundit	undertaken
förbättra	improve
förbättras	improve
förbättring	improvement
fördel	benefit
fördela	divide
fördelaktig	advantageous
fördelning	distribution
fördjupa	deepen
fördjupad	deeper
fördom	bias
fördomsfri	unbiassed
fördomsfullt	prejudiced
fördrag	treaty
fördröja	detain
fördröjning	delay
fördubbla	double
fördämning	dam
fördärva	damage
fördärvad	devastated
fördöma	condemn
fördömande	condemnation
fördömd	damned
fördömda	doomed
fördömelse	damnation
före	by
före.	before
förebild	pattern
förebrå	reproach
förebygga	prevent
förebyggande	prevention
förebärande	Ruffsig
förebåda	herald
föredra	deliver
föredrag	address
föredragande	charge
föredragandeskap	lectureship
föredöme	example
föredömlig	exemplary
förefalla	appear
förege	allege
föregripa	forestall
föregå	precede
föregående	previous
föregångare	precursor
förehavande	doings
förekomma	exist
förekommande	occurrning
förekomst	occurrence
föreligga	exist
förelägga	order
föreläggande	injunction
föreläsa	lecture
föremål	thing
förena	unite
förenad	joined
förenhetliga	uniformize
förening	compound
förenkla	simplify
förenklad	simplified
förenklat	simplified
förenlig	compatible
förenta	united
föresats	intention
föreskrift	regulation
föreskriva	prescribe
föreslagit	proposed
föreslog	suggested
föreslå	suggest
förespråka	advocate
förespråkare	spokesman
föreställa	present
föreställning	conception
förestå	impending
förestående	imminent
föreståndare	head
företa	perform
företag	business
företagande	entrepreneurship
företagare	industrialist
företagsam	enterprising
företagsamhet	initiative
företagsnivå	companylevel
företal	preface
företeelse	occurrence
företräda	represent
företrädare	representative
företrädd	represented
företräde	advantage
företrädesvis	preferably
föreviga	perpetuate
förevändning	excuse
förfader	ancestor
förfall	excuse
förfalla	lapse
förfallen	untended
förfalska	falsify
förfalskare	forger
förfalskning	forgery
förfara	act
förfarande	procedure
förfasas	horrified
författa	write
författare	writer
författarinna	authoress
författarskap	authorship
författning	constitution
förfinad	refined
förfinas	refined
förfining	polish
förflytta	move
förflyttning	movement
förfriskning	refreshment
förfrusen	frost-bitten
förfrusit	frost-bitten
förfrågning	Enquiry
förfuska	bungle
förfärad	devestated
förfäran	horror
förfärlig	terrible
förfång	prejudice
förföljelse	victimization
förföll	degenerated
förföra	seduce
förgifta	poison
förgiftad	poisoned
förgiftning	poisoning
förglömma	forget
förgranskning	preview
förgrund	foreground
förgrunden	foreground
förgrymmad	enraged
förgylla	embellish
förgänglig	corruptible
förgätmigej	forget-me-not
förgå	disappear
förgången	past
förgås	perish
förgöra	destroy
förhala	delay
förhand	signifikant
förhandla	negotiate
förhandlare	negotiator
förhandling	negotiation
förhandlingsbara	negotiable
förhandlingslösning	currenly
förhandsgranskning	preview
förhandsvisa	preview
förhastad	premature
förhastat	premature
förhinder	obstacle
förhindra	prevent
förhistoria	prehistory
förhistorisk	prehistoric
förhoppning	hope
förhoppningsvis	hopefully
förhyrd	rented
förhållande	relationship
förhållandevis	comparatively
förhållningssätt	attitude
förhårdnad	callus
förhöjd	enhanced
förhöjer	increases
förhör	test
förhöra	test
förhörare	interrogator
förindustriell	pre-industrial
förinta	annihilate
förintelse	holocaust
förkalkning	calcification
förkasta	discard
förkastlig	reprehensible
förklara	declare
förklarad	explained
förklarande	explaining
förklaring	declaration
förklarlig	explainable
förklä	disguise
förklädd	disguised
förkläde	chaperon
förklädnad	disguise
förklädning	disguise
förklätt	disguised
förknippa	associate
förknippad	associated
förkokt	pre-cooked
förkommen	missing
förkorta	shorten
förkortas	shortening
förkortning	abbreviation
förkroma	chromium-plate
förkroppsliga	embody
förkrossad	broken-hearted
förkrossande	overwhelming
förkunna	announce
förkväva	smother
förkylning	cold
förkämpe	champion
förkärlek	predilection
förlagschef	Publisher
förlama	paralyze
förlamad	paralyzed
förlamande	paralysing
förlamas	paralysing
förlamning	paralysis
förleda	entice
förledande	seductive
förlegad	antiquated
förlikning	mediation
förlikningsförfarande	conciliation
förlikningsman	arbitrator
förlisa	founder
förlisning	capsizing
förlita	rely
förljugen	false
förlora	lose
förlorad	lost
förlorare	losers
förlossning	delivery
förlov	pardon
förlovad	promised
förlovning	engagement
förlust	loss
förlägen	awkward
förlägga	publish
förläggare	publisher
förläggning	station
förlänga	prolong
förlängning	prolongation
förlät	forgave
förlåt	Sorry!
förlåta	forgive
förlåtelse	forgiveness
förlöjliga	ridicule
förlöpa	elapse
förmaning	warning
förmedlare	negotiator
förmedling	agency
förment	supposed
förmer	superior
förmildrande	extenuating
förminska	diminish
förminskad	decreased
förminskning	reduction
förmoda	presume
förmodad	assumed
förmodan	expectation
förmodligen	presumably
förmultna	decay
förmyndare	guardian
förmyndarmentalitet	bureaucrative
förmyndarskap	guardianship
förmäten	presumptuous
förmå	persuade
förmåga	power
förmån	advantage
förmånlig	beneficial
förmånlighet	beneficial
förmånstagare	beneficiaries
förmögen	wealthy
förmögenhet	fortune
förnedra	degrade
förnedrande	humiliating
förneka	deny
